qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
28,2,1,10,5,1,1,2,2017,1,2
66,1,1,96,1,4,1,1,2018,2,3
75,2,1,97,1,4,1,1,2018,1,3
21,2,1,10,2,2,1,1,2016,1,2
25,1,1,10,5,2,1,1,2016,1,2
25,2,4,96,5,2,2,1,2016,1,1
22,1,4,96,5,2,2,1,2016,1,1
19,2,4,96,5,2,2,1,2017,2,3
47,2,2,96,1,3,1,1,2017,1,3
23,2,4,97,2,3,1,1,2018,1,1
56,2,1,96,4,3,1,2,2017,1,1
55,1,1,96,4,3,1,1,2017,1,1
47,1,1,18,2,4,1,1,2016,1,1
45,2,1,18,4,2,1,1,2016,1,1
16,1,4,18,1,1,1,1,2016,1,3
18,2,4,18,2,1,1,1,2016,1,2
34,2,5,1,2,2,1,1,2018,2,1
20,2,4,26,5,2,2,2,2018,1,3
37,2,1,97,5,3,1,1,2014,2,2
16,1,4,26,5,3,1,2,2018,1,3
19,2,7,3,5,1,1,1,2018,1,2
67,2,1,9,5,2,2,1,2015,2,3
69,1,1,9,5,3,1,1,2015,2,3
35,2,1,6,5,1,2,1,2018,1,2
20,2,4,6,1,2,2,2,2018,1,1
45,1,1,24,2,2,1,1,2014,1,1
16,1,4,1,1,4,1,2,2014,3,3
47,1,1,1,2,2,1,1,2014,1,1
36,2,1,1,5,2,2,1,2014,1,2
30,2,1,10,2,3,1,2,2015,1,3
42,1,1,10,5,2,1,1,2015,1,1
36,2,4,9,6,1,2,2,2016,1,1
65,1,1,9,5,3,1,1,2016,1,3
67,2,1,9,5,3,1,1,2016,1,3
32,1,4,9,5,1,2,1,2015,1,1
26,2,1,97,1,4,1,1,2017,3,3
18,1,4,6,2,3,1,2,2016,1,3
45,2,2,6,1,4,1,2,2016,1,1
23,2,4,6,2,3,1,1,2016,1,2
20,1,4,6,2,3,1,2,2016,1,3
31,2,1,96,2,3,2,1,2016,1,1
41,1,1,96,2,3,2,1,2016,1,1
54,2,1,96,1,4,1,1,2015,1,3
58,1,1,96,1,3,1,1,2015,1,3
25,2,1,96,2,3,2,1,2016,1,2
33,1,1,96,2,2,2,1,2016,1,2
22,2,4,96,4,1,1,1,2015,1,1
35,2,2,97,5,2,1,1,2014,3,1
30,2,1,6,2,2,2,2,2016,1,1
52,1,1,1,6,1,2,1,2016,1,1
30,2,2,97,1,3,1,1,2015,1,2
64,2,5,97,1,1,1,6,2015,1,3
23,2,4,97,5,1,2,2,2018,1,1
33,1,1,96,5,3,1,1,2014,1,1
30,2,1,96,2,3,1,1,2014,1,1
73,2,1,96,1,4,1,1,2014,1,3
20,1,4,97,5,3,1,2,2017,1,1
55,2,1,6,1,4,1,1,2018,2,1
57,1,1,6,1,4,1,2,2018,2,1
32,2,1,3,2,3,1,2,2018,1,3
44,1,1,3,2,2,1,2,2018,1,1
25,2,1,10,5,3,1,6,2015,1,3
29,1,1,10,2,3,1,1,2015,1,1
38,1,1,10,5,1,1,1,2014,1,1
38,2,1,10,5,2,1,1,2014,1,1
39,2,1,10,6,1,1,1,2014,1,2
35,1,1,10,6,1,1,1,2014,1,1
50,1,1,97,1,4,1,1,2016,2,1
20,1,7,97,1,3,1,2,2016,2,1
46,2,1,97,1,4,2,1,2016,2,3
59,1,1,3,1,4,1,1,2016,1,3
51,2,1,3,1,4,1,1,2016,1,3
29,1,7,6,5,3,2,1,2018,1,1
35,1,7,22,6,3,1,2,2016,1,1
36,2,1,22,6,2,2,1,2016,1,3
28,2,1,97,2,2,1,1,2017,1,1
22,2,4,97,2,3,1,1,2017,1,1
45,1,1,9,5,2,2,1,2017,2,1
43,2,1,96,1,3,1,2,2017,1,3
58,1,4,96,1,4,1,1,2017,2,3
17,2,4,96,5,2,2,1,2017,1,3
50,2,5,24,6,2,1,1,2014,1,1
20,2,4,24,2,1,1,1,2014,1,1
16,2,4,97,5,1,2,2,2017,3,3
38,2,1,97,4,3,2,2,2017,3,1
40,2,2,96,1,4,1,1,2017,1,1
51,1,1,18,2,4,1,1,2016,1,3
20,1,4,18,2,2,1,1,2016,1,2
27,2,4,6,1,3,1,2,2017,1,2
75,2,5,96,1,4,1,1,2016,1,3
27,1,7,97,5,2,2,1,2018,1,1
27,2,1,97,5,1,1,1,2016,1,1
29,1,1,97,5,1,1,1,2018,1,2
39,2,1,18,2,3,1,1,2015,1,3
18,1,4,18,2,2,1,1,2015,1,1
21,2,4,18,2,2,1,1,2015,1,1
19,2,4,18,2,2,1,1,2015,1,1
45,1,1,18,6,3,1,1,2015,1,1
26,2,4,26,6,3,1,2,2017,1,1
24,2,4,26,6,3,1,2,2017,1,1
34,1,1,18,1,4,1,1,2016,1,2
31,2,1,18,2,4,1,1,2016,1,3
40,2,1,96,1,3,1,1,2017,2,1
36,2,1,10,5,2,1,1,2016,1,2
26,1,4,6,2,3,2,1,2015,1,1
33,1,1,97,5,1,1,1,2017,1,1
32,2,7,22,6,1,1,1,2017,1,2
41,1,1,18,5,3,1,1,2017,1,1
36,2,1,18,5,3,1,1,2017,1,3
48,2,1,22,7,3,2,1,2017,1,1
25,2,4,22,6,2,2,2,2017,1,1
51,1,1,22,6,3,2,2,2017,1,1
26,1,4,3,5,2,1,1,2015,1,1
